Participant,MCA0,ACA0,MCA1,ACA1,MCA2,ACA2,MCV0,ACV0,MCV1,ACV1,MCV2,ACV2,MNA0,ANA0,MNA1,ANA1,MNA2,ANA2,MNV0,ANV0,MNV1,ANV1,MNV2,ANV2
s01,502.893485187087,538.479020196122,592.56541391369,606.778675314984,470.631827483885,510.274702234061,370.73919933755,416.812069049623,364.727191947168,416.85181204553,367.979589413153,398.424809017645,310.798581398558,369.548169064931,359.243440645514,404.041258484358,363.026056293165,430.769105926361,229.559884173796,286.85858651429,262.482767546317,316.128271626076,237.593905068934,285.646337123277
s02,346.914244699292,379.879422479889,408.138524944661,443.985431806967,272.827229782706,348.135581707431,300.20372569561,314.606623744799,249.036083725514,293.436473411114,246.307263441849,282.872548189646,624.24810230732,637.94804796435,671.353304642253,706.454054823125,681.914502405562,697.127439483666,285.61827246449,333.818938535405,268.657780252397,294.84945643926,295.942208176712,316.868856768398
s03,403.427989804186,464.984514184135,428.582338732667,493.73478757916,392.532330006361,478.596228379474,348.752575926483,391.379313508295,354.348166612908,401.503214230096,396.545567258727,463.417509176199,572.508585755713,601.625281600647,516.371562611312,571.147222052185,466.634890763089,552.726148704096,414.158380765002,453.049054615096,370.797458454035,423.908359173726,390.592875424773,440.9124934498
s04,785.927830729634,824.125555041246,877.264067763463,888.089332918753,760.29352331534,822.008824304623,738.773425575346,795.472994849731,819.261999102309,796.318081265781,816.18951074779,798.399911798311,1007.20209279098,1031.36730362135,1014.17537545785,1017.07607707795,1064.613269642,1039.05749089878,612.973456969485,701.189982185427,572.044625878334,641.94718332016,565.938286948949,632.387712912853
s05,733.879660721868,751.219162436308,765.861191786826,792.927123518472,740.658243652433,744.963233159589,676.926104817539,695.242956974246,703.805738128722,721.341592950168,737.476934213191,748.192062925999,958.158342167735,1018.49156275958,1017.83619029447,1004.54924276484,1089.97046900913,974.086348971468,657.24765881896,684.879070101306,583.462806418538,704.5926989289,580.316814593971,640.835744268712
s06,683.683255221695,784.694359447299,738.128952682018,809.826469343776,732.65893664211,815.108411224379,657.968954648823,676.073638368398,625.126668252051,694.04566446037,563.830997794867,657.984056403594,953.496255911887,940.626210715298,1000.82106050104,977.381259300991,970.582473091781,953.973642935784,559.925826266408,602.792067708922,477.953759022057,604.015123638986,559.11185964942,592.430784175282
s07,580.106870736927,696.773816434736,546.362322755158,651.443184952119,464.766977354884,557.478099342968,540.626970119774,620.227464241907,583.033107686788,623.955134599884,544.80819310993,628.294737621521,767.613794188946,853.678088513729,862.510025501251,890.016075862305,766.925853677094,815.429045871964,513.770731166005,538.923012936172,442.161237820983,516.577775460771,484.320604242384,559.325589798391
s08,773.018760140985,776.775639555934,704.120730049908,704.631239033511,666.049160994589,673.874492278056,687.852253206074,700.545475291053,728.987707290798,717.089769689159,581.886641215533,580.162958112649,903.610162902623,914.78732423167,935.074305161834,962.599211674131,957.353732548654,965.387468484955,734.144090674818,783.742846481783,742.001975420862,777.125490454232,731.011079158634,718.687207593272
s09,852.837203070521,906.781001509551,944.322710856795,911.379087743733,777.364647947252,817.06070686307,799.379042349756,811.901943395949,823.676258791238,860.829529740537,820.004425477237,838.204508828413,942.827444057912,953.934881422255,950.049309059978,952.69622009558,978.389041963965,976.385024978834,681.386397220194,697.000351441265,696.466147899628,726.593147562299,665.90456943959,706.786419083882
s10,296.04468960315,317.395560478546,279.839602764696,318.85389254118,305.704984813929,341.392565436442,302.61770542711,324.805470324069,317.298395559192,332.207667761083,292.025113478303,303.258372470737,449.568595737219,461.384087607686,439.927921630442,472.558280532914,418.888385407627,441.748585418931,470.102061983198,478.173008761727,495.188190601766,491.344756354958,422.823139932007,453.556592274895
s11,643.578050658107,636.497336477801,766.153544187546,750.667873501891,726.987277157605,685.527962265593,481.445682700723,564.427105537443,514.904067385942,585.028682595917,502.062764018774,586.087640290233,702.23983656615,719.805288972017,754.829996265471,768.50538898889,722.471743356436,801.837414299371,507.398151792586,591.645331332847,535.325543489307,615.838958046344,520.910490304232,602.672789866726
s12,656.465085223317,697.56744785563,485.702823847532,639.781925655328,493.949656374753,639.82886110122,692.401594482362,758.859431740107,751.961716450751,782.965757411675,664.132345467806,709.298696136102,878.859703429043,921.137688396385,885.059014894068,944.877013120623,1025.49530053511,1015.59910125798,663.981415331364,727.655137516558,725.265463814139,798.574802382335,709.050265140831,740.01678947688
s13,634.204070083797,701.821451132395,648.273794911802,751.988043750708,582.077568396926,647.700052575341,536.504158750176,574.998379648462,521.98888733983,581.523815809346,539.530009031296,583.754110495959,622.839319054037,703.612949796176,757.390076760203,769.176797038226,758.401310071349,772.331962707852,565.972095355392,604.485215801819,491.585182026029,557.01568613852,516.389221418649,612.881347666391
s14,450.049007311463,549.247572319987,449.748806655407,510.921473571216,395.414947997779,505.512406517352,332.578581757843,380.057194415066,344.765902496874,427.792351442709,300.846990197897,380.576701203902,988.461830187589,993.777076490223,1046.98008019477,1001.07205588964,976.041925139725,997.955773824028,329.781540669501,370.249974383217,321.649112738669,370.685368984826,340.527929831296,371.497917290339
s15,733.879660721868,751.219162436308,765.861191786826,792.927123518472,740.658243652433,744.963233159589,676.926104817539,695.242956974246,703.805738128722,721.341592950168,737.476934213191,748.192062925999,958.158342167735,1018.49156275958,1017.83619029447,1004.54924276484,1089.97046900913,974.086348971468,657.24765881896,684.879070101306,583.462806418538,704.5926989289,580.316814593971,640.835744268712
s16,641.535510309041,689.235058054328,726.969164796174,743.257609852513,641.824089922011,704.74297109553,597.738400101662,658.480392224243,681.315158959478,681.852861129514,689.767256379128,798.379681206175,790.520187001675,783.832819322529,704.330824781209,759.445473325975,863.181664608419,849.463242896353,725.78979562968,756.047338988556,705.184486694634,785.060132119122,787.548369728029,813.5531750672
s17,581.691337283701,654.73494770077,670.481983572245,723.155545394706,565.438405610621,642.151629924774,469.006911851466,508.148836773322,530.072110705078,555.304355186517,433.973419014364,454.248218709836,944.603139534593,975.248524158889,994.869878515601,1008.71727529854,1042.63962619007,1052.5742152651,606.19381768629,622.259830676571,604.441215284169,646.113135930623,578.848413657397,602.728546706631
